Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Median,Ratio,RatioSD
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,15,AsciiOnly,2.740 ns,0.0128 ns,0.0107 ns,2.738 ns,0.99,0.01
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,15,AsciiOnly,2.634 ns,0.0209 ns,0.0196 ns,2.631 ns,0.95,0.01
Ascii_Local_NarrowUtf16ToAscii_v3,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,15,AsciiOnly,2.753 ns,0.0207 ns,0.0184 ns,2.752 ns,1.00,0.01
Ascii_Local_NarrowUtf16ToAscii_v4_if,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,15,AsciiOnly,2.773 ns,0.0118 ns,0.0105 ns,2.771 ns,1.00,0.01
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,2.716 ns,0.0310 ns,0.0304 ns,2.715 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,2.738 ns,0.0380 ns,0.0317 ns,2.734 ns,1.01,0.01
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,2.469 ns,0.0279 ns,0.0247 ns,2.460 ns,0.91,0.02
Ascii_Local_NarrowUtf16ToAscii_v3,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,2.676 ns,0.0193 ns,0.0151 ns,2.676 ns,0.98,0.02
Ascii_Local_NarrowUtf16ToAscii_v4_if,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,16,AsciiOnly,2.279 ns,0.0342 ns,0.0642 ns,2.278 ns,0.84,0.03
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-NBUDUF,False,Default,Default,0.01,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,19,AsciiOnly,3.068 ns,0.0201 ns,0.0188 ns,3.060 ns,1.00,0.00
