Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,StringLengthInChars,Scenario,Mean,Error,StdDev,Ratio,RatioSD
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,71,AsciiOnly,9.725 ns,0.0205 ns,0.0192 ns,0.72,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,79,AsciiOnly,11.805 ns,0.0076 ns,0.0064 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,79,AsciiOnly,10.478 ns,0.0152 ns,0.0127 ns,0.89,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,79,AsciiOnly,12.929 ns,0.0604 ns,0.0565 ns,1.10,0.01
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,79,AsciiOnly,11.290 ns,0.0249 ns,0.0233 ns,0.96,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,87,AsciiOnly,11.813 ns,0.0164 ns,0.0154 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,87,AsciiOnly,10.414 ns,0.0182 ns,0.0170 ns,0.88,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,87,AsciiOnly,13.561 ns,0.0467 ns,0.0437 ns,1.15,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,87,AsciiOnly,10.807 ns,0.0340 ns,0.0318 ns,0.91,0.00
Ascii_Local_NarrowUtf16ToAscii_v1_StoreLower,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,95,AsciiOnly,17.004 ns,0.0444 ns,0.0415 ns,1.00,0.00
Ascii_Local_NarrowUtf16ToAscii_v2_Inline,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,95,AsciiOnly,14.706 ns,0.0574 ns,0.0537 ns,0.86,0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,95,AsciiOnly,15.063 ns,0.0183 ns,0.0171 ns,0.89,0.00
Ascii_Local_NarrowUtf16ToAscii_v3,Job-JWVYEB,False,Default,Default,0.01,Default,Default,Default,11,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,300.0000 ms,Default,Default,Default,Default,Default,Default,Default,16,1,95,AsciiOnly,12.036 ns,0.0506 ns,0.0449 ns,0.71,0.00
