Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio;RatioSD
SimdSSE_v4;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;AsciiOnly;4.341 ns;0.0088 ns;0.0069 ns;1.01;0.00
SimdAVX;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;16;AsciiOnly;4.306 ns;0.0151 ns;0.0134 ns;1.00;0.00
Original;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;20;AsciiOnly;7.894 ns;0.0721 ns;0.0674 ns;1.81;0.02
Encoding;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;20;AsciiOnly;12.565 ns;0.0248 ns;0.0207 ns;2.88;0.00
Int32Loop;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;20;AsciiOnly;6.797 ns;0.0318 ns;0.0282 ns;1.56;0.01
SimdSSE_v4;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;20;AsciiOnly;4.530 ns;0.0118 ns;0.0104 ns;1.04;0.00
SimdAVX;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;20;AsciiOnly;4.356 ns;0.0089 ns;0.0079 ns;1.00;0.00
Original;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;30;AsciiOnly;10.670 ns;0.0697 ns;0.0618 ns;2.45;0.03
Encoding;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;30;AsciiOnly;14.987 ns;0.1200 ns;0.1122 ns;3.45;0.05
Int32Loop;Job-ACNMMT;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;30;AsciiOnly;8.852 ns;0.0572 ns;0.0507 ns;2.04;0.02
