Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Ratio;RatioSD
SimdSSE_v4;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;30;AsciiOnly;3.754 ns;0.0147 ns;0.0138 ns;1.29;0.00
SimdAVX;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;30;AsciiOnly;2.907 ns;0.0054 ns;0.0042 ns;1.00;0.00
Long;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;34;AsciiOnly;7.452 ns;0.0312 ns;0.0276 ns;2.35;0.02
SimdSSE_v4;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;34;AsciiOnly;4.159 ns;0.0068 ns;0.0060 ns;1.31;0.00
SimdAVX;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;34;AsciiOnly;3.170 ns;0.0157 ns;0.0139 ns;1.00;0.00
Long;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;50;AsciiOnly;9.064 ns;0.0175 ns;0.0146 ns;2.55;0.00
SimdSSE_v4;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;50;AsciiOnly;4.994 ns;0.0144 ns;0.0134 ns;1.41;0.00
SimdAVX;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;50;AsciiOnly;3.552 ns;0.0043 ns;0.0036 ns;1.00;0.00
Long;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;170;AsciiOnly;21.707 ns;0.0515 ns;0.0457 ns;2.67;0.02
SimdSSE_v4;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;170;AsciiOnly;13.815 ns;0.1518 ns;0.3548 ns;1.87;0.20
SimdAVX;Job-GEAOSY;False;Default;Default;0.01;Default;Default;Default;1111111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;Default;170;AsciiOnly;7.471 ns;0.2964 ns;0.8645 ns;1.00;0.00
