Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;StringLengthInChars;Scenario;Mean;Error;StdDev;Median;Ratio;RatioSD
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;15;AsciiOnly;4.138 ns;0.0059 ns;0.0055 ns;4.137 ns;0.73;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;16;AsciiOnly;5.300 ns;0.0051 ns;0.0047 ns;5.298 ns;1.00;0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;16;AsciiOnly;4.088 ns;0.0076 ns;0.0071 ns;4.086 ns;0.77;0.00
Ascii_Local_NarrowUtf16ToAscii_v3;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;16;AsciiOnly;5.365 ns;0.1145 ns;0.3037 ns;5.251 ns;1.10;0.09
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;16;AsciiOnly;4.134 ns;0.0043 ns;0.0034 ns;4.133 ns;0.78;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;5.923 ns;0.0139 ns;0.0116 ns;5.917 ns;1.00;0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;4.527 ns;0.0154 ns;0.0136 ns;4.522 ns;0.76;0.00
Ascii_Local_NarrowUtf16ToAscii_v3;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;5.299 ns;0.0326 ns;0.0375 ns;5.304 ns;0.89;0.01
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;20;AsciiOnly;4.721 ns;0.0130 ns;0.0121 ns;4.724 ns;0.80;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;25;AsciiOnly;6.558 ns;0.0124 ns;0.0116 ns;6.555 ns;1.00;0.00
Ascii_Local_NarrowUtf16ToAscii_simple_loop;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;25;AsciiOnly;5.155 ns;0.0117 ns;0.0110 ns;5.149 ns;0.79;0.00
Ascii_Local_NarrowUtf16ToAscii_v3;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;25;AsciiOnly;5.663 ns;0.0111 ns;0.0098 ns;5.660 ns;0.86;0.00
Ascii_Local_NarrowUtf16ToAscii_v4_if;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;25;AsciiOnly;4.632 ns;0.0276 ns;0.0258 ns;4.634 ns;0.71;0.00
Ascii_Local_NarrowUtf16ToAscii_v2_StoreLower;Job-RJQJBO;False;Default;Default;0.005;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;3;33;AsciiOnly;6.392 ns;0.0074 ns;0.0069 ns;6.393 ns;1.00;0.00
